Step:0 K-loss:tensor([233.7695], device='cuda:0', dtype=torch.float64)
Step:100 K-loss:tensor([137.3188], device='cuda:0', dtype=torch.float64)
Step:200 K-loss:tensor([115.9571], device='cuda:0', dtype=torch.float64)
Step:300 K-loss:tensor([100.9044], device='cuda:0', dtype=torch.float64)
Step:400 K-loss:tensor([90.0733], device='cuda:0', dtype=torch.float64)
Step:500 K-loss:tensor([81.7040], device='cuda:0', dtype=torch.float64)
Step:600 K-loss:tensor([74.7543], device='cuda:0', dtype=torch.float64)
Step:700 K-loss:tensor([68.5413], device='cuda:0', dtype=torch.float64)
Step:800 K-loss:tensor([62.9148], device='cuda:0', dtype=torch.float64)
Step:900 K-loss:tensor([57.7020], device='cuda:0', dtype=torch.float64)
Step:1000 K-loss:tensor([52.8320], device='cuda:0', dtype=torch.float64)
Step:1100 K-loss:tensor([48.4916], device='cuda:0', dtype=torch.float64)
Step:1200 K-loss:tensor([44.4135], device='cuda:0', dtype=torch.float64)
Step:1300 K-loss:tensor([40.5840], device='cuda:0', dtype=torch.float64)
Step:1400 K-loss:tensor([36.9727], device='cuda:0', dtype=torch.float64)
Step:1500 K-loss:tensor([33.6217], device='cuda:0', dtype=torch.float64)
Step:1600 K-loss:tensor([30.4829], device='cuda:0', dtype=torch.float64)
Step:1700 K-loss:tensor([27.5914], device='cuda:0', dtype=torch.float64)
Step:1800 K-loss:tensor([24.8939], device='cuda:0', dtype=torch.float64)
Step:1900 K-loss:tensor([22.3782], device='cuda:0', dtype=torch.float64)
Step:2000 K-loss:tensor([20.0528], device='cuda:0', dtype=torch.float64)
Step:2100 K-loss:tensor([17.9938], device='cuda:0', dtype=torch.float64)
Step:2200 K-loss:tensor([16.1154], device='cuda:0', dtype=torch.float64)
Step:2300 K-loss:tensor([14.3578], device='cuda:0', dtype=torch.float64)
Step:2400 K-loss:tensor([12.7466], device='cuda:0', dtype=torch.float64)
Step:2500 K-loss:tensor([11.2787], device='cuda:0', dtype=torch.float64)
Step:2600 K-loss:tensor([9.9375], device='cuda:0', dtype=torch.float64)
Step:2700 K-loss:tensor([8.7135], device='cuda:0', dtype=torch.float64)
Step:2800 K-loss:tensor([7.5976], device='cuda:0', dtype=torch.float64)
Step:2900 K-loss:tensor([6.5922], device='cuda:0', dtype=torch.float64)
Step:3000 K-loss:tensor([5.6807], device='cuda:0', dtype=torch.float64)
Step:3100 K-loss:tensor([4.9129], device='cuda:0', dtype=torch.float64)
Step:3200 K-loss:tensor([4.2199], device='cuda:0', dtype=torch.float64)
Step:3300 K-loss:tensor([3.6010], device='cuda:0', dtype=torch.float64)
Step:3400 K-loss:tensor([3.0533], device='cuda:0', dtype=torch.float64)
Step:3500 K-loss:tensor([2.5753], device='cuda:0', dtype=torch.float64)
Step:3600 K-loss:tensor([2.1540], device='cuda:0', dtype=torch.float64)
Step:3700 K-loss:tensor([1.7884], device='cuda:0', dtype=torch.float64)
Step:3800 K-loss:tensor([1.4693], device='cuda:0', dtype=torch.float64)
Step:3900 K-loss:tensor([1.1959], device='cuda:0', dtype=torch.float64)
Step:4000 K-loss:tensor([0.9663], device='cuda:0', dtype=torch.float64)
Step:4100 K-loss:tensor([0.7809], device='cuda:0', dtype=torch.float64)
Step:4200 K-loss:tensor([0.6257], device='cuda:0', dtype=torch.float64)
Step:4300 K-loss:tensor([0.4952], device='cuda:0', dtype=torch.float64)
Step:4400 K-loss:tensor([0.3876], device='cuda:0', dtype=torch.float64)
Step:4500 K-loss:tensor([0.3001], device='cuda:0', dtype=torch.float64)
Step:4600 K-loss:tensor([0.2286], device='cuda:0', dtype=torch.float64)
Step:4700 K-loss:tensor([0.1725], device='cuda:0', dtype=torch.float64)
Step:4800 K-loss:tensor([0.1284], device='cuda:0', dtype=torch.float64)
Step:4900 K-loss:tensor([0.0940], device='cuda:0', dtype=torch.float64)
Step:5000 K-loss:tensor([0.0680], device='cuda:0', dtype=torch.float64)
Step:5100 K-loss:tensor([0.0492], device='cuda:0', dtype=torch.float64)
Step:5200 K-loss:tensor([0.0351], device='cuda:0', dtype=torch.float64)
Step:5300 K-loss:tensor([0.0247], device='cuda:0', dtype=torch.float64)
Step:5400 K-loss:tensor([0.0171], device='cuda:0', dtype=torch.float64)
Step:5500 K-loss:tensor([0.0117], device='cuda:0', dtype=torch.float64)
Step:5600 K-loss:tensor([0.0080], device='cuda:0', dtype=torch.float64)
Step:5700 K-loss:tensor([0.0054], device='cuda:0', dtype=torch.float64)
Step:5800 K-loss:tensor([0.0037], device='cuda:0', dtype=torch.float64)
Step:5900 K-loss:tensor([0.0026], device='cuda:0', dtype=torch.float64)
Step:6000 K-loss:tensor([0.0019], device='cuda:0', dtype=torch.float64)
Step:6100 K-loss:tensor([0.0014], device='cuda:0', dtype=torch.float64)
Step:6200 K-loss:tensor([0.0011], device='cuda:0', dtype=torch.float64)
Step:6300 K-loss:tensor([0.0009], device='cuda:0', dtype=torch.float64)
Step:6400 K-loss:tensor([0.0008], device='cuda:0', dtype=torch.float64)
Step:6500 K-loss:tensor([0.0007], device='cuda:0', dtype=torch.float64)
Step:6600 K-loss:tensor([0.0007], device='cuda:0', dtype=torch.float64)
Step:6700 K-loss:tensor([0.0007], device='cuda:0', dtype=torch.float64)
Step:6800 K-loss:tensor([0.0006], device='cuda:0', dtype=torch.float64)
Step:6900 K-loss:tensor([0.0006], device='cuda:0', dtype=torch.float64)
Step:7000 K-loss:tensor([0.0006], device='cuda:0', dtype=torch.float64)
Step:7100 K-loss:tensor([0.0005], device='cuda:0', dtype=torch.float64)
Step:7200 K-loss:tensor([0.0005], device='cuda:0', dtype=torch.float64)
Step:7300 K-loss:tensor([0.0005], device='cuda:0', dtype=torch.float64)
Step:7400 K-loss:tensor([0.0005], device='cuda:0', dtype=torch.float64)
Step:7500 K-loss:tensor([0.0005], device='cuda:0', dtype=torch.float64)
Step:7600 K-loss:tensor([0.0004], device='cuda:0', dtype=torch.float64)
Step:7700 K-loss:tensor([0.0004], device='cuda:0', dtype=torch.float64)
